,ticker,bought_date,trade_size,bought_price,price,atr,stop_loss,dynamic_stop_loss,profit_exit,dynamic_profit_exit,trade_type,sell_date
44,VTR,2019-06-17,5.0,68.5999984741211,70.23999786376953,1.2085064807830306,67.39149199333806,70.29218620849733,72.22551791647018,76.16344991942991,sell,2019-06-24
45,MAA,2019-06-11,2.0,117.06999969482422,117.44999694824219,1.8086315207327839,115.26136817409143,118.28657626689845,122.49589425702257,125.06028462703902,sell,2019-06-25
46,ANTM,2019-06-21,2.0,293.760009765625,285.17999267578125,5.54514677270952,288.21486299291547,288.21486299291547,310.39545008375353,310.39545008375353,sell,2019-06-25
47,KMX,2019-06-26,3.0,84.13999938964844,84.13999938964844,2.0422437248320033,82.09775566481643,82.09775566481643,90.26673056414445,90.26673056414445,buy,
48,NEE,2019-06-10,2.0,203.4199981689453,203.07000732421875,3.117293270097006,200.3027048988483,205.2465538592123,212.77187797923634,217.06032621533186,sell,2019-06-26
49,CME,2019-06-13,4.0,196.74000549316406,192.02999877929688,3.3204786947282896,193.41952679843578,195.66938295464897,206.70144157734893,208.27188043292807,sell,2019-06-26
50,SJM,2019-07-05,6.0,119.48999786376953,119.48999786376953,2.3543631805022542,117.13563468326728,117.13563468326728,126.5530874052763,126.5530874052763,buy,
51,CMCSA,2019-07-05,24.0,43.279998779296875,43.279998779296875,0.6486462646183286,42.63135251467855,42.63135251467855,45.22593757315186,45.22593757315186,buy,
52,CBOE,2019-07-08,8.0,110.62000274658203,110.62000274658203,2.3920268964658997,108.22797585011614,108.22797585011614,117.79608343597972,117.79608343597972,buy,
53,EXR,2019-07-08,7.0,109.41999816894531,109.41999816894531,1.7658198529301978,107.65417831601512,107.65417831601512,114.7174577277359,114.7174577277359,buy,
54,TSN,2019-07-08,1.0,81.91999816894531,81.91999816894531,1.8128519416960074,80.1071462272493,80.1071462272493,87.35855399403333,87.35855399403333,buy,
55,CMCSA,2019-07-05,24.0,43.279998779296875,42.630001068115234,0.6486462646183286,42.63135251467855,42.63135251467855,45.22593757315186,45.22593757315186,sell,2019-07-08
56,DG,2019-07-09,6.0,139.5500030517578,139.5500030517578,1.8254168491270104,137.7245862026308,137.7245862026308,145.02625359913884,145.02625359913884,buy,
57,MKTX,2019-07-09,1.0,342.8999938964844,342.8999938964844,8.831880330405573,334.0681135660788,334.0681135660788,369.3956348877011,369.3956348877011,buy,
58,VTR,2019-07-09,3.0,70.37999725341797,70.37999725341797,1.4629107508861467,68.91708650253182,68.91708650253182,74.76872950607641,74.76872950607641,buy,
59,DLTR,2019-07-10,4.0,111.69000244140625,111.69000244140625,2.0661294380085335,109.62387300339772,109.62387300339772,117.88839075543186,117.88839075543186,buy,
60,NEE,2019-07-10,1.0,209.47999572753906,209.47999572753906,2.968553337530992,206.51144239000806,206.51144239000806,218.38565574013205,218.38565574013205,buy,
61,MAA,2019-07-11,3.0,121.95999908447266,121.95999908447266,2.0304141106282594,119.9295849738444,119.9295849738444,128.05124141635744,128.05124141635744,buy,
